ID,Soc_ID,Var_ID,Value,Code_ID,Comment,Source,sub_case,year,source_coded_data,admin_comment
1,B1,AnnualNetPrimaryProductionVariance,0.52577864,,,,,,,
2,B10,AnnualNetPrimaryProductionVariance,0.58694885,,,,,,,
3,B100,AnnualNetPrimaryProductionVariance,0.252459714,,,,,,,
4,B101,AnnualNetPrimaryProductionVariance,0.264901107,,,,,,,
5,B102,AnnualNetPrimaryProductionVariance,0.176943825,,,,,,,
6,B103,AnnualNetPrimaryProductionVariance,0.16980571,,,,,,,
7,B104,AnnualNetPrimaryProductionVariance,0.123686585,,,,,,,
8,B105,AnnualNetPrimaryProductionVariance,1.362347482,,,,,,,
9,B106,AnnualNetPrimaryProductionVariance,0.119128009,,,,,,,
10,B107,AnnualNetPrimaryProductionVariance,0.921052702,,,,,,,
11,B108,AnnualNetPrimaryProductionVariance,0.233608271,,,,,,,
12,B109,AnnualNetPrimaryProductionVariance,0.144070859,,,,,,,
13,B11,AnnualNetPrimaryProductionVariance,1.085083272,,,,,,,
14,B110,AnnualNetPrimaryProductionVariance,1.093159378,,,,,,,
15,B111,AnnualNetPrimaryProductionVariance,0.092826453,,,,,,,
16,B112,AnnualNetPrimaryProductionVariance,0.105216611,,,,,,,
17,B113,AnnualNetPrimaryProductionVariance,0.128989733,,,,,,,
18,B114,AnnualNetPrimaryProductionVariance,0.419136175,,,,,,,
19,B115,AnnualNetPrimaryProductionVariance,0.421159992,,,,,,,
20,B116,AnnualNetPrimaryProductionVariance,0.049636788,,,,,,,
21,B117,AnnualNetPrimaryProductionVariance,0.154337687,,,,,,,
22,B118,AnnualNetPrimaryProductionVariance,0.11748192,,,,,,,
23,B119,AnnualNetPrimaryProductionVariance,0.857175739,,,,,,,
24,B12,AnnualNetPrimaryProductionVariance,1.952076603,,,,,,,
25,B120,AnnualNetPrimaryProductionVariance,0.097901097,,,,,,,
26,B121,AnnualNetPrimaryProductionVariance,0.053659649,,,,,,,
27,B122,AnnualNetPrimaryProductionVariance,0.079763007,,,,,,,
28,B123,AnnualNetPrimaryProductionVariance,0.080513088,,,,,,,
29,B124,AnnualNetPrimaryProductionVariance,0.128973114,,,,,,,
30,B125,AnnualNetPrimaryProductionVariance,0.119482602,,,,,,,
31,B126,AnnualNetPrimaryProductionVariance,0.082566468,,,,,,,
32,B127,AnnualNetPrimaryProductionVariance,0.049695005,,,,,,,
33,B128,AnnualNetPrimaryProductionVariance,0.087843603,,,,,,,
34,B129,AnnualNetPrimaryProductionVariance,0.177524941,,,,,,,
35,B13,AnnualNetPrimaryProductionVariance,1.952076603,,,,,,,
36,B130,AnnualNetPrimaryProductionVariance,0.244555914,,,,,,,
37,B131,AnnualNetPrimaryProductionVariance,0.279953611,,,,,,,
38,B132,AnnualNetPrimaryProductionVariance,0.927901976,,,,,,,
39,B133,AnnualNetPrimaryProductionVariance,0.170548849,,,,,,,
40,B134,AnnualNetPrimaryProductionVariance,1.417891392,,,,,,,
41,B135,AnnualNetPrimaryProductionVariance,2.062010529,,,,,,,
42,B136,AnnualNetPrimaryProductionVariance,2.115917601,,,,,,,
43,B137,AnnualNetPrimaryProductionVariance,4.774838482,,,,,,,
44,B14,AnnualNetPrimaryProductionVariance,0.473258775,,,,,,,
45,B143,AnnualNetPrimaryProductionVariance,0.055370717,,,,,,,
46,B144,AnnualNetPrimaryProductionVariance,0.117947839,,,,,,,
47,B145,AnnualNetPrimaryProductionVariance,0.402486515,,,,,,,
48,B146,AnnualNetPrimaryProductionVariance,0.042421095,,,,,,,
49,B147,AnnualNetPrimaryProductionVariance,0.225010767,,,,,,,
50,B148,AnnualNetPrimaryProductionVariance,0.210232618,,,,,,,
51,B149,AnnualNetPrimaryProductionVariance,0.051785008,,,,,,,
52,B15,AnnualNetPrimaryProductionVariance,0.678455084,,,,,,,
53,B150,AnnualNetPrimaryProductionVariance,0.385094379,,,,,,,
54,B151,AnnualNetPrimaryProductionVariance,0.704470325,,,,,,,
55,B152,AnnualNetPrimaryProductionVariance,0.197501839,,,,,,,
56,B153,AnnualNetPrimaryProductionVariance,1.355797167,,,,,,,
57,B154,AnnualNetPrimaryProductionVariance,0.560988301,,,,,,,
58,B155,AnnualNetPrimaryProductionVariance,0.554461978,,,,,,,
59,B156,AnnualNetPrimaryProductionVariance,0.43951575,,,,,,,
60,B157,AnnualNetPrimaryProductionVariance,0.031645025,,,,,,,
61,B158,AnnualNetPrimaryProductionVariance,1.405540937,,,,,,,
62,B159,AnnualNetPrimaryProductionVariance,1.405540937,,,,,,,
63,B16,AnnualNetPrimaryProductionVariance,0.783381716,,,,,,,
64,B160,AnnualNetPrimaryProductionVariance,1.910964019,,,,,,,
65,B161,AnnualNetPrimaryProductionVariance,0.557959851,,,,,,,
66,B162,AnnualNetPrimaryProductionVariance,2.497765503,,,,,,,
67,B163,AnnualNetPrimaryProductionVariance,1.689191358,,,,,,,
68,B164,AnnualNetPrimaryProductionVariance,1.117474421,,,,,,,
69,B165,AnnualNetPrimaryProductionVariance,1.60026724,,,,,,,
70,B166,AnnualNetPrimaryProductionVariance,3.254479603,,,,,,,
71,B167,AnnualNetPrimaryProductionVariance,2.40894505,,,,,,,
72,B168,AnnualNetPrimaryProductionVariance,1.863819094,,,,,,,
73,B169,AnnualNetPrimaryProductionVariance,3.897244556,,,,,,,
74,B17,AnnualNetPrimaryProductionVariance,0.304983658,,,,,,,
75,B170,AnnualNetPrimaryProductionVariance,0.898531373,,,,,,,
76,B171,AnnualNetPrimaryProductionVariance,1.951073697,,,,,,,
77,B172,AnnualNetPrimaryProductionVariance,1.60026724,,,,,,,
78,B173,AnnualNetPrimaryProductionVariance,2.125922128,,,,,,,
79,B174,AnnualNetPrimaryProductionVariance,1.148078045,,,,,,,
80,B175,AnnualNetPrimaryProductionVariance,0.851512857,,,,,,,
81,B176,AnnualNetPrimaryProductionVariance,2.904415286,,,,,,,
82,B177,AnnualNetPrimaryProductionVariance,3.097985268,,,,,,,
83,B178,AnnualNetPrimaryProductionVariance,3.189754749,,,,,,,
84,B179,AnnualNetPrimaryProductionVariance,1.167213652,,,,,,,
85,B18,AnnualNetPrimaryProductionVariance,0.856317247,,,,,,,
86,B180,AnnualNetPrimaryProductionVariance,3.378489512,,,,,,,
87,B181,AnnualNetPrimaryProductionVariance,5.150328402,,,,,,,
88,B182,AnnualNetPrimaryProductionVariance,2.676526783,,,,,,,
89,B183,AnnualNetPrimaryProductionVariance,0.843915276,,,,,,,
90,B184,AnnualNetPrimaryProductionVariance,3.183444319,,,,,,,
91,B185,AnnualNetPrimaryProductionVariance,0.991546491,,,,,,,
92,B186,AnnualNetPrimaryProductionVariance,3.55098603,,,,,,,
93,B187,AnnualNetPrimaryProductionVariance,0.603068813,,,,,,,
94,B188,AnnualNetPrimaryProductionVariance,0.2316793,,,,,,,
95,B189,AnnualNetPrimaryProductionVariance,0.981543567,,,,,,,
96,B19,AnnualNetPrimaryProductionVariance,0.827439437,,,,,,,
97,B190,AnnualNetPrimaryProductionVariance,0.046401262,,,,,,,
98,B191,AnnualNetPrimaryProductionVariance,0.43453571,,,,,,,
99,B192,AnnualNetPrimaryProductionVariance,0.041898654,,,,,,,
100,B193,AnnualNetPrimaryProductionVariance,0.242322259,,,,,,,
101,B194,AnnualNetPrimaryProductionVariance,0.030635168,,,,,,,
102,B195,AnnualNetPrimaryProductionVariance,0.045235956,,,,,,,
103,B196,AnnualNetPrimaryProductionVariance,0.129325656,,,,,,,
104,B197,AnnualNetPrimaryProductionVariance,0.035996113,,,,,,,
105,B198,AnnualNetPrimaryProductionVariance,0.081322064,,,,,,,
106,B199,AnnualNetPrimaryProductionVariance,0.071729931,,,,,,,
107,B2,AnnualNetPrimaryProductionVariance,1.008513818,,,,,,,
108,B20,AnnualNetPrimaryProductionVariance,0.965531333,,,,,,,
109,B200,AnnualNetPrimaryProductionVariance,0.022739291,,,,,,,
110,B201,AnnualNetPrimaryProductionVariance,0.043821754,,,,,,,
111,B202,AnnualNetPrimaryProductionVariance,0.041297992,,,,,,,
112,B203,AnnualNetPrimaryProductionVariance,0.035394287,,,,,,,
113,B204,AnnualNetPrimaryProductionVariance,0.047331386,,,,,,,
114,B205,AnnualNetPrimaryProductionVariance,0.021527029,,,,,,,
115,B206,AnnualNetPrimaryProductionVariance,0.027193207,,,,,,,
116,B207,AnnualNetPrimaryProductionVariance,0.177655219,,,,,,,
117,B208,AnnualNetPrimaryProductionVariance,0.081143966,,,,,,,
118,B209,AnnualNetPrimaryProductionVariance,0.511118521,,,,,,,
119,B21,AnnualNetPrimaryProductionVariance,0.615155479,,,,,,,
120,B210,AnnualNetPrimaryProductionVariance,0.055807699,,,,,,,
121,B211,AnnualNetPrimaryProductionVariance,0.040503649,,,,,,,
122,B212,AnnualNetPrimaryProductionVariance,0.130429031,,,,,,,
123,B213,AnnualNetPrimaryProductionVariance,0.345353387,,,,,,,
124,B214,AnnualNetPrimaryProductionVariance,0.038682817,,,,,,,
125,B215,AnnualNetPrimaryProductionVariance,0.068914611,,,,,,,
126,B216,AnnualNetPrimaryProductionVariance,0.059498725,,,,,,,
127,B217,AnnualNetPrimaryProductionVariance,0.055191137,,,,,,,
128,B218,AnnualNetPrimaryProductionVariance,0.073502821,,,,,,,
129,B219,AnnualNetPrimaryProductionVariance,0.893175202,,,,,,,
130,B22,AnnualNetPrimaryProductionVariance,2.122080114,,,,,,,
131,B221,AnnualNetPrimaryProductionVariance,0.116003057,,,,,,,
132,B222,AnnualNetPrimaryProductionVariance,0.299422732,,,,,,,
133,B223,AnnualNetPrimaryProductionVariance,0.148628155,,,,,,,
134,B224,AnnualNetPrimaryProductionVariance,0.042648396,,,,,,,
135,B225,AnnualNetPrimaryProductionVariance,0.223364976,,,,,,,
136,B226,AnnualNetPrimaryProductionVariance,0.290882194,,,,,,,
137,B227,AnnualNetPrimaryProductionVariance,0.119469775,,,,,,,
138,B228,AnnualNetPrimaryProductionVariance,0.057602214,,,,,,,
